,Persian Translation (Google Translate),sentiment
1,آب مروارید,-1
5,آبجو,1
7,آبرومند,1
17,آبگرم,1
37,آدرس,1
44,آراسته,1
47,آرامش بخش,1
52,آرسنیک,-1
55,آرمانی,1
56,آرمان‌گرا,1
61,آزاداندیش,1
62,آزادانه,1
63,آزاده,1
64,آزادیخواه,1
66,آزار,-1
67,آزاردهنده,-1
68,آزارنده,-1
72,آزمند,-1
75,آس و پاس,-1
76,آسان,1
78,آسان‌گیر,1
81,آسمان,1
84,آسمانی,1
86,آسم‌زا,-1
88,آسیب پذیر,-1
89,آسیب‌دیده,-1
90,آسیب‌رسان,-1
94,آسیا,-1
95,آسیب پذیری,-1
97,آشامیدنی,-1
98,آشتی جویانه,1
99,آشتی‌ناپذیر,-1
100,آشفته,-1
102,آشوب‌طلب,-1
103,آشکار,1
107,آغازگر,1
109,آفتاب,1
110,آفتابه‌دزد,-1
120,آقا,1
122,آلاینده,-1
125,آلرژی‌زا,-1
126,آلزایمری,-1
129,آلو,1
130,آلوده,-1
131,آلوده‌کننده,-1
132,آلوده‌گر,-1
133,آلودگی,-1
139,آماتوری,-1
140,آماده,1
141,آمادگی,1
146,آمفتامین,-1
149,آموزش,1
153,آموزشی,1
154,آموزش‌دیده,1
155,آموزش‌ندیده,-1
163,آنارشیست,-1
164,آنارشیسم,-1
168,آنتی بیوتیک‌ها,1
171,آنفولانزا,-1
177,آهن,-1
180,آهنگساز,1
181,آواتار,1
183,آوانگارد,1
193,آینده نگر,1
195,آینده‌گرا,1
200,آپاندیسیت,-1
207,آگاه,1
208,آگاهانه,1
213,ائتلاف,1
219,ابا,1
225,ابتکاری,1
226,ابد,1
227,ابداعی,1
229,ابدی,1
230,ابدیت,1
232,ابر مرد,1
234,ابراز تاسف,-1
237,ابرقدرت,1
242,ابریشم,1
248,ابشاری,1
249,ابطال,-1
250,ابطال و فسخ,-1
254,ابله,-1
255,ابله مرغان,-1
256,ابلهانه,-1
257,ابهام,-1
258,ابهام‌آلود,-1
264,اتحاد,1
265,اتحادیه,1
271,اتش زا,-1
272,اتشفشان,-1
273,اتشی,-1
280,اتلاف‌گر,-1
281,اتم,1
282,اتمام,1
285,اتهام,-1
286,اتهامی,-1
297,اثر,1
299,اثر تاریخی,1
310,اجازه,1
312,اجاق,1
313,اجبار,-1
314,اجباری,-1
317,اجتماعی,1
319,اجتناب,-1
322,اجتناب ناپذیر,-1
323,اجتناب کردن,-1
324,اجتناب کردن از,-1
327,اجراء,-1
331,اجنبی,-1
333,احاطه کردن,1
335,احترام,1
336,احترام‌برانگیز,1
342,احتکار,-1
343,احتیاط,1
344,احتیاطی,1
345,احساس,1
347,احساسات,1
349,احساساتی,-1
350,احساساتی,1
352,احشاء,1
353,احشاء و امعاء,-1
354,احضار,-1
356,احضاریه,-1
357,احمق,-1
358,احمقانه,-1
359,احیا,1
369,اختفاء,-1
370,اختلاس,-1
371,اختلاف,-1
373,اختلاف نظر دارند,-1
375,اختلاف‌برانگیز,-1
376,اختلاف‌زا,-1
377,اختلال,-1
378,اختلال اعصاب,-1
382,اختیاری,1
383,اخراج,-1
384,اخراج کردن,-1
391,اخلاق گرا,1
393,اخلاقی,1
394,اخلال‌گر,-1
395,اخم,-1
396,اخمو,-1
401,اداره کردن,1
406,ادامه,1
407,ادب,1
415,ادغام,1
416,ادغام کردن,1
417,ادم احمق و ابله,-1
419,ادم بی تربیت,-1
420,ادم بیکار و تنبل,-1
421,ادم بیکاره و مهمل,-1
423,ادم حقه باز,-1
424,ادم خائن و بدنهاد,-1
425,ادم خواری,-1
427,ادم دزدی کردن,-1
428,ادم سفیه و احمق,-1
429,ادم چاپلوس,1
430,ادم کودن و احمق,-1
431,ادمخوار,-1
433,ادویه,1
436,اذیت,-1
438,اذیت کردن,-1
440,ارائه,1
441,ارائه اطلاعات نادرست,-1
445,ارادت مند,1
448,اراذل و اوباش,-1
450,ارامش,1
456,اربابی,1
457,ارتباط,1
461,ارتداد,-1
471,ارجمند,1
479,ارزان,1
480,ارزش,1
481,ارزشمند,1
483,ارزنده,1
491,ارشدیت,1
495,ارعاب,-1
500,ارواح,1
506,ارکستر,1
508,ارگانیک,1
511,اریب,-1
516,از بین بردن,-1
518,از بین رفته,-1
520,از جا در رفته,-1
521,از جان گذشته,-1
524,از خود راضی,-1
525,از خود متشکر,-1
527,از دست دادن,-1
528,از دست دادگی,-1
529,از دست رفته,-1
531,از دین برگشته,-1
532,از راه بدر کردن,-1
535,از روی لئامت دادن,-1
537,از سر گیری,1
538,از شدت چیزی کاستن,1
540,از میان بردن,-1
542,از نو ساختن,1
543,از نو سنگر سازی,-1
544,از نو طرح کردن,1
546,از هم پاشیدن,-1
547,از وسط خم شدن,-1
549,از پای در امدن,-1
552,از کار افتاده,-1
553,از کار انداختن,-1
554,از کوره در رفته,-1
555,ازادی,1
556,ازار,-1
557,ازار دادن,-1
558,ازار دهنده,-1
561,ازبین‌برنده,-1
564,ازدحام,-1
565,ازدست رفته,-1
566,ازدست‌داده,-1
567,ازدنیارفته,-1
568,ازدواج,1
569,ازدواج کردن,1
571,ازدیاد غیر عادی مایع,-1
572,ازردن,-1
577,از‌جان‌گذشته,1
578,اسارت,-1
583,اساسی,1
591,اسب سواری,1
593,اسب نر,1
597,استاد,1
605,استبداد,-1
607,استبدادی,-1
613,استحکام,1
614,استخدام,1
623,استخوان‌شکن,-1
624,استدلال,-1
626,استدلالی,-1
629,استراتژیک,1
630,استراق سمع,-1
633,استرس‌زا,-1
635,استریل,1
639,استعداد,1
640,استعفا,-1
641,استعفا داد,-1
648,استفاده‌شده,-1
649,استفراغ,-1
650,استقامت,1
652,استقلال,1
662,استهزاء,-1
663,استهلاک,-1
674,اسراف,-1
681,اسفناک,-1
682,اسفنج,-1
694,اسم بی مسمی,-1
701,اسهال خونی,-1
703,اسیر,-1
708,اسکار,-1
709,اسکاچ,-1
713,اسکنه,1
720,اسیب,-1
721,اسیب زدن,-1
723,اسید,-1
725,اسیر,-1
726,اسیر کردن,1
727,اسیر کننده,-1
728,اشاره,1
733,اشباع,-1
734,اشباع شده,-1
738,اشتباه,-1
739,اشتباه بزرگ,-1
740,اشتباهی,-1
742,اشتغال,1
743,اشتغال‌زا,1
747,اشتیاق,1
748,اشتیاق داشتن,1
749,اشرافی,1
750,اشرافی,1
751,اشراق,1
754,اشغال کردن,1
755,اشغال‌گر,-1
756,اشغالی,-1
759,اشوبگرانه,-1
764,اشکار شدن,1
765,اشکال,-1
769,اصابت,-1
770,اصالت,1
771,اصالت خانوادگی,1
772,اصرار,1
778,اصطلاحات مخصوص یک صنف,-1
785,اصل موضوع,1
788,اصلاح طلب,1
789,اصلاح کردن,1
790,اصلاحات,1
792,اصلاحی,1
794,اصلی,1
796,اصول اخلاق,1
802,اصیل,1
804,اضافه بار,-1
806,اضافه پرداخت,-1
807,اضافه کردن,-1
810,اضافی,1
812,اضطراب,-1
813,اضطراب سخت و ناگهانی,-1
815,اطاعت,1
828,اطلاعات,1
832,اطلس,1
834,اطمینان بخش,1
837,اطمینان دادن,1
838,اطمینان مجدد,1
840,اظهار غلط,-1
842,اعاده,1
843,اعاده دادن,-1
844,اعتبار,1
848,اعتدال,1
850,اعتذاری,1
851,اعتراض,-1
852,اعتراض آمیز,-1
853,اعتراضی,-1
858,اعتصاب,-1
862,اعتماد,1
863,اعتماد بنفس,1
864,اعتماد به نفس,1
866,اعتیادآور,-1
867,اعتیاد,-1
868,اعتیاد به مواد مخدره,-1
869,اعتیاد به نوشیدن الکل,-1
871,اعجوبه,1
872,اعدام,-1
876,اعطا شده,1
880,اعلاء,1
882,اعلام جرم,-1
888,اعلیحضرت,1
890,اعوجاج,-1
891,اعیانی,1
893,اغتشاش,-1
895,اغراق آمیز,-1
897,اغماء,-1
900,افت,-1
902,افتابی,1
903,افتاده,1
904,افتادگی,-1
905,افتتاح,1
908,افتخار,1
909,افتخارآفرین,1
910,افتخاراتی,1
912,افترا,-1
913,افترا امیز,-1
914,افتضاح,-1
916,افراطی,-1
917,افزار,-1
920,افزایش,1
921,افزایش دادن,1
922,افزایشگر,-1
924,افزودن,1
926,افزوده,1
930,افسار,-1
931,افسارگسیخته,-1
935,افسانهای,1
936,افسر,1
937,افسرده,-1
938,افسرده کردن,-1
939,افسرده کننده,-1
940,افسردگی,-1
942,افسون,1
943,افسون‌گری,-1
950,افق,1
955,افول,-1
956,افیونی,-1
958,اقامت,1
960,اقامه کردن,-1
964,اقتدارگریز,-1
967,اقتصادی,1
968,اقدام,1
970,اقرار,-1
976,اقلیت,-1
982,الاغ,-1
991,التهاب,-1
992,التیام‌بخش,1
993,التیام‌دهنده,1
995,الحاد,-1
996,الحادی,-1
999,الحاقیه,1
1001,الزام,-1
1002,الزامی,-1
1011,الماس,1
1012,الهام,1
1014,الهام بخشیدن,1
1015,الهام گرفته از,1
1023,الودگی,-1
1024,الوهیت,1
1031,الکتریکی,1
1033,الکل متیلیک,-1
1035,الکی,-1
1052,امتحان,-1
1053,امتحان سخت برای اثبات بیگناهای,-1
1056,امتناع,-1
1059,امد و شد زیاد,-1
1060,امدادرسان,1
1069,امضاء کردن,1
1072,امل,-1
1075,امن,1
1079,اموزشی,1
1082,امی,-1
1083,امیدبخش,1
1084,امیدوار,1
1085,امیدوارکننده,1
1096,امید,1
1097,امید بخش,1
1098,امیدوار,1
1099,امیر,1
1101,امین صلح یا قاضی,-1
1112,انتحار,-1
1113,انتحاری,-1
1125,انتظار,1
1129,انتقاد,-1
1130,انتقاد کردن,-1
1133,انتقادپذیر,1
1135,انتقال,-1
1138,انتقام,-1
1139,انتقام جو,-1
1140,انتقام گیری,-1
1141,انتقام‌جو,-1
1143,انتها,-1
1148,انجام دادن,1
1149,انجام شده,1
1152,انجماد,-1
1156,انجیل,1
1159,انحرافی,-1
1166,اندازه گیری,1
1172,اندوده,-1
1174,اندوه,-1
1175,اندوهگین,-1
1184,انرژی و زنده دلی,1
1185,انزال,1
1187,انزجار,-1
1188,انزوا,-1
1189,انزواطلب,-1
1190,انس,1
1191,انسان دوستانه,1
1197,انسداد,-1
1198,انسداد جریان خون,-1
1201,انشاءالله,1
1202,انشعاب,1
1203,انصاف,1
1206,انطباق,1
1209,انعطاف پذیری,1
1210,انعطاف‌ناپذیر,-1
1215,انفجار,-1
1219,انفعال,-1
1220,انفعالی,-1
1221,انفلوانزا,-1
1224,انقباض,-1
1225,انقباض غیر ارادی ماهیچه,-1
1230,انقلابی,1
1232,انقیاد,-1
1236,انژین,-1
1237,انکار,-1
1238,انکار ناپذیر,1
1239,انکار کردن,-1
1244,انگل,-1
1245,انگلی,-1
1250,انگیزه,1
1253,انیمیشن,1
1256,اهانت‌کننده,-1
1257,اهداء,1
1263,اهریمنی,-1
1264,اهسته,-1
1267,اهل,1
1268,اهل بیت,-1
1269,اهل تفریح ​​و بازی,1
1271,اهلی,1
1273,اهمیت,1
1274,اهن,1
1275,اهن مغناطیسی,1
1282,اوایی,1
1283,اوت,1
1284,اوج,1
1285,اوج خوش بختی,1
1286,اوج لذت جنسی,1
1289,اوراق قرضه,-1
1291,اورژانس,-1
1294,اولویت,1
1296,اولیه,1
1306,ایثارگر,1
1311,ایده‌آل,1
1312,ایرادگیر,-1
1317,ایران‌دوست,1
1319,ایران‌پرست,1
1327,ایمن,1
1331,اپرا,1
1342,اکثریت,1
1343,اکروبات,1
1345,اکسپرس,1
1346,اکسیداسیون,-1
1350,اگزوز,-1
1351,اگهی در گذشت,-1
1353,ایجاد حریق عمدی,-1
1355,ایستا,-1
1359,ایش,-1
1362,ایمان,1
1366,اینجا,-1
1370,ایوان,-1
1374,با احتیاط,1
1375,با ادب,1
1376,با ارزش,1
1378,با استعداد,1
1379,با اسکنه کندن,-1
1382,با انصاف,1
1383,با اکراه,-1
1384,با ایمان,1
1385,با بهره گیری از,1
1386,با تجربه,1
1387,با ترشرویی,-1
1390,با جیغ وداد بازی کردن,1
1392,با حیا,1
1393,با خصومت روبرو شدن,-1
1395,با دوام,1
1396,با ذوق,1
1397,با روشنایی ضعیف تابیدن,1
1399,با سرعت حرکت کردن,-1
1401,با سیاست,1
1402,با سیخونک بحرکت واداشتن,-1
1403,با شخصیت,1
1404,با شکوه,1
1406,با صدا غذا خوردن,-1
1408,با صدای تلپ افتادن,-1
1409,با صرفه,1
1411,با ضربات تند,1
1412,با ضربه زدن,-1
1413,با غیرت,1
1416,با قصد قبلی,-1
1417,با مته سوراخ کردن,-1
1418,با محبت,1
1419,با ملاحظه,1
1422,با نفس بریده بریده سخن گفتن,1
1426,با وجدان,1
1428,با وقار,1
1430,با چماق زدن,-1
1433,با کف دست زدن,-1
1436,باابهت,1
1437,بااراده,1
1438,باارزش,1
1440,باانضباط,1
1441,باانگیزه,1
1443,باتجربه,1
1444,باتدبیر,1
1445,باتری,-1
1446,باتقوا,1
1447,باتلاق,-1
1449,باتلاقی,-1
1452,باحوصله,1
1453,باخبر,1
1455,باخیروبرکت,1
1457,باد خالی کردن,-1
1458,باد کردن,1
1459,باد کرده,-1
1462,بادبادک,-1
1466,بادرد,-1
1467,بادقت,1
1469,باده پرستی,-1
1471,بادوام,1
1476,بادکش,-1
1492,بارداری,-1
1493,بارز,1
1503,بارور,1
1510,بارگران,-1
1517,باز بودن,1
1518,باز داشتن,-1
1519,باز پرداخت,1
1523,باز گشت,-1
1530,بازارپسند,1
1537,بازداشت,-1
1538,بازداشت شدگان,-1
1539,بازداشت‌شده,-1
1541,بازدید,1
1542,بازرس,1
1552,بازنده,-1
1553,بازنشسته,1
1564,بازیگوش,-1
1565,بازیگوشانه,-1
1566,بازپرداخت,-1
1567,بازگرداندن,1
1571,بازی بسکتبال,1
1578,بازیچه قرار دادن,-1
1579,بازیکن,-1
1580,بازیگر,1
1582,باسابقه,-1
1584,باستان شناسی,1
1585,باستانی,-1
1586,باستانی,-1
1588,باسواد,1
1590,باشعور,1
1592,باشکوه,1
1595,باصلابت,1
1596,باطراوت,1
1597,باطل,-1
1598,باطل ساختن,-1
1599,باطل سازی,-1
1600,باطل کردن,-1
1602,باطل‌شده,-1
1605,باعرضه,1
1606,باغ,1
1615,بافت برداری,-1
1619,بافضیلت,1
1620,باقاعده,1
1623,باقی,1
1624,باقی مانده,-1
1627,بال و پر زدن,-1
1635,بالادست,1
1640,بالش,1
1641,بالشتک,1
1646,بالنده,1
1647,باله,1
1652,بامحتوا,1
1653,بامزه,1
1659,بانزاکت,1
1660,بانفوذ,1
1665,بانک ناپذیر,-1
1668,بانی خیر,1
1670,باهم زیستن,1
1672,باهوش,1
1673,باهویت,1
1674,باهیبت,1
1676,باور,1
1677,باور نکردنی,-1
1680,باورنکردنی,-1
1683,باوفا,1
1684,باوقار,1
1686,بایکوت,-1
1688,باکتری,-1
1689,باکره,1
1690,باکلاس,1
1691,باکیفیت,1
1694,بایگانی راکد,-1
1697,بت,1
1698,بت پرست,-1
1699,بت پرستی,-1
1704,بته مرده,-1
1705,بتواند,-1
1714,بحث انگیز,-1
1715,بحث برانگیز,-1
1716,بحث برانگیز,-1
1718,بحد افراط رساندن,-1
1719,بحران,-1
1720,بحران اقتصادی,-1
1721,بحران زا,-1
1722,بحرانی,-1
1723,بحرانی,-1
1724,بحران‌زده,-1
1726,بخار,-1
1732,بخرد,1
1733,بخردانه,1
1735,بخش عمده,1
1737,بخشاینده,1
1739,بخشش,1
1741,بخشنده,1
1743,بخشودنی,1
1744,بخشودگی,1
1747,بخشیدن,1
1748,بخطر انداختن,-1
1750,بخور دادن به,-1
1751,بخیل,-1
1753,بد,-1
1754,بد اخلاق,-1
1755,بد بخت,-1
1756,بد خلق,-1
1757,بد خو,-1
1758,بد شانسی,-1
1759,بد شکل,-1
1760,بد قلب,-1
1762,بد نام,-1
1763,بد نام کردن,-1
1766,بداقبال,-1
1767,بداندیش,-1
1772,بدبخت,-1
1773,بدبختی,-1
1774,بدبو,-1
1775,بدبین,-1
1776,بدبین,-1
1777,بدبینی,-1
1778,بدتر,-1
1779,بدجلوه دادن,-1
1780,بدجنس,-1
1781,بدحال,-1
1782,بدحجاب,-1
1783,بدحساب,-1
1784,بدخط,-1
1785,بدخواه,-1
1786,بدخیم,-1
1787,بدخیم,-1
1788,بدخیمی,-1
1789,بددهن,-1
1790,بددوا,-1
1791,بدذات,-1
1792,بدرکاب,-1
1793,بدسابقه,-1
1794,بدساخت,-1
1795,بدسلیقه,-1
1796,بدشانس,-1
1797,بدشکل,-1
1798,بدشکلی,-1
1799,بدصدا,-1
1800,بدطینت,-1
1801,بدعادت,-1
1803,بدفهم,-1
1804,بدقت,1
1805,بدقدم,-1
1806,بدقواره,-1
1807,بدقول,-1
1808,بدل,-1
1809,بدلباس,-1
1810,بدلی,-1
1811,بدمزه,-1
1812,بدمسیر,-1
1814,بدنام,-1
1816,بدنیت,-1
1817,بدنی,-1
1819,بدهضم,-1
1820,بدهکار,-1
1821,بدهی,-1
1824,بدون بهانه,-1
1826,بدون خونریزی,1
1829,بدون زرق و برق,-1
1830,بدون شک,1
1832,بدون مقدمه,-1
1838,بدوی,-1
1840,بدیع,1
1841,بدیمن,-1
1842,بدیهی,1
1843,بدکار,-1
1844,بدکاری,-1
1845,بدگمانی,-1
1846,بدگویانه,-1
1847,بدی,-1
1849,بذله گو,1
1850,بذله گویی,1
1851,بذله‌گو,1
1853,بر انگیختن,1
1854,بر خلاف قانون اساسی,-1
1855,بر هم زدن,-1
1856,برآمده,-1
1858,برآورده نشده,-1
1860,برابری,1
1861,برادر,1
1864,برادرانه,1
1865,برادری,1
1868,براق,1
1870,براندازی,-1
1871,براندی,-1
1875,برانگیخته,1
1878,بربادرفته,-1
1879,بربریت,-1
1880,برتر,1
1881,برتری,1
1882,برترین,1
1883,برج,1
1885,برج عاج نشین,-1
1887,برجسته,1
1890,برجستگی,1
1891,برحذر بودن,-1
1895,برخورد,-1
1896,برخوردار,1
1898,برداشت,-1
1899,برداشتن,-1
1900,بردبار,1
1902,برده,-1
1903,بردگی,-1
1908,برش,-1
1911,برش‌دار,1
1912,برطرف کردن,-1
1916,برف و باران,-1
1924,برق‌آسا,1
1926,برملا,1
1930,برنامه ریزی,1
1936,برنده,1
1937,برنده تمام پولها,1
1939,برنزه,1
1942,بره,1
1947,برو,1
1950,برومند,1
1967,برکت,1
1968,برکت دهد,1
1971,برگ بو,1
1975,برگردان,1
1984,برگزیده,1
1985,برگشت,-1
1986,برگشت دهنده,-1
1992,بریدن,-1
1996,بریدگی,-1
2000,بزدل,-1
2005,بزرگان,1
2006,بزرگتر,1
2008,بزرگداشت,1
2010,بزرگوار,1
2013,بزمی,1
2014,بزمین,-1
2017,بزور وادار کردن,-1
2020,بساز,1
2022,بسامان,1
2032,بسته شدن,1
2045,بسیار خوشحال,1
2046,بسیار سرد,-1
2048,بسیار مأیوس کننده,-1
2049,بسیار مشتاق,-1
2051,بسیار گرسنه,-1
2056,بشاش,1
2057,بشدت,-1
2058,بشر دوست,1
2059,بشر دوستی,1
2060,بشردوست,1
2061,بشردوستانه,1
2064,بشریت,1
2069,بصیر,-1
2070,بصیرت,1
2075,بطلان,-1
2078,بطور بریده بریده,1
2082,بطور سرد,-1
2083,بطور صحیح,1
2096,بغرنج,-1
2097,بغض‌آلود,-1
2099,بغل کردن,1
2105,بلا,-1
2106,بلااستفاده,-1
2107,بلاتکلیف,-1
2113,بلامنازع,1
2116,بلدرچین,-1
2123,بلند,-1
2124,بلند و باریک,1
2125,بلند کردن,1
2126,بلند کردن جنس از مغازه,-1
2127,بلندآوازه,1
2128,بلنداندام,1
2129,بلندبالا,1
2130,بلندقامت,1
2131,بلندقد,1
2135,بلندپرواز,-1
2136,بلندی,1
2137,بلندی صدا,-1
2143,بلوز,-1
2144,بلوط,1
2152,بمب,-1
2154,بمباران,-1
2155,بمباران کردن,-1
2156,بموقع,1
2158,بن بست,-1
2162,بنام,1
2164,بنجل,-1
2165,بند,-1
2176,بنده نواز,1
2177,بنده کردن,-1
2186,بنگی,-1
2189,به‌ آسانی,1
2192,به استثنای,-1
2193,به استقلال ندادند,1
2194,به اندازه کافی,-1
2197,به بردگی گرفته شده,-1
2198,به تاخیر افتاده,-1
2200,به تعویق انداختن,-1
2202,به تنهایی,1
2203,به جلو,1
2204,به حداقل رساندن,-1
2205,به خاک سپرده شد,-1
2206,به دست آوردن,1
2209,به رخ کشیدن,-1
2212,به زمین نشست,1
2214,به زور,-1
2217,به سرقت رفته,-1
2218,به سیاه چال انداختن,-1
2219,به شدت,-1
2220,به صراحت,1
2225,به طرز وحشیانه‌ای,-1
2235,به طور پیش فرض,-1
2236,به طور کامل,1
2238,به عقب,-1
2239,به علت,-1
2240,به مخاطره می‌اندازد,-1
2241,به مراتب بیشتر,-1
2243,به ندرت,-1
2244,به هدر رفتن,-1
2245,به همان اندازه,1
2247,به یاد ماندنی,1
2253,بهادار,1
2256,بهاری,1
2257,بهانه,-1
2258,بهانه گیر,-1
2260,بهبود,1
2262,بهت زده,-1
2263,بهت و حیرت,-1
,بهتر,1
2264,بهتر بودن از,1
,بهترین,1
2265,بهتر شدن,1
2268,بهداشتی,1
2269,بهداشتی,1
2271,بهره وری,1
2272,بهره‌مند,1
2278,بهم زدن,-1
2280,بهمن,-1
2281,بهنجار,1
2282,بهینه,1
2284,به‌دردنخور,-1
2285,به‌درد‌بخور,1
2286,به‌درد‌نخور,-1
2287,به‌روز,1
2288,به‌موقع,1
2290,به‌هنگام,1
2291,به‌کار‌گرفته‌شده,-1
2293,بو,-1
2294,بواسیر,-1
2307,بورس تحصیلی,1
2315,بوسه,1
2322,بوق زدن,-1
2323,بوقلمون صفت,-1
2329,بومی,-1
2331,بوگندو,-1
2334,بی آبرو,-1
2335,بی احتیاط,-1
2336,بی اختیار,-1
2337,بی ادب,-1
2338,بی ادعا,1
2339,بی اراده,-1
2340,بی ارزش,-1
2341,بی اصل و نسب,-1
2342,بی اعتبار,-1
2343,بی انصاف,-1
2344,بی انضباط,-1
2346,بی انگیزه,-1
2347,بی اهمیت,-1
2348,بی ایمان,-1
2349,بی باک,1
2350,بی برکت,-1
2351,بی بنیه,-1
2352,بی بهره,-1
2353,بی تجربه,-1
2354,بی تدبیر,-1
2355,بی جان,-1
2356,بی حال,-1
2357,بی حرکت,1
2358,بی حوصله,-1
2359,بی حیا,-1
2360,بی خاصیت,-1
2361,بی خطر,1
2363,بی خیال,-1
2364,بی درد,1
2366,بی دقت,-1
2367,بی دلیل,-1
2368,بی دوام,-1
2370,بی ربط,-1
2371,بی رحم,-1
2372,بی رمق,-1
2374,بی رونق,-1
2376,بی ریط,-1
2377,بی سواد,-1
2378,بی شعور,-1
2380,بی فایده,-1
2381,بی مانند,1
2382,بی مثال,1
2383,بی محابا,1
2384,بی محل,-1
2385,بی معنا,-1
2386,بی ملاحظه,-1
2387,بی مناسبت,-1
2389,بی نتیجه,-1
2390,بی نصیب,-1
2391,بی نظم,-1
2392,بی نظیر,1
2395,بی نیاز,1
2396,بی هدف,-1
2397,بی همتا,1
2399,بی هویت,-1
2401,بی وجدان,-1
2402,بی وفا,-1
2404,بی پایه,-1
2405,بی پول,-1
2406,بی کلاس,-1
2407,بی گناه,1
2411,بیدادگر,-1
2415,بیزار,-1
2420,بیم ناک,-1
2421,بیمار,-1
2423,بیماری زا,-1
2427,بیم‌دهنده,-1
2433,بینوا,-1
2436,بیهوده,-1
2438,بیچاره,-1
2439,بیکار,-1
2441,بیگانه,-1
2443,بی‌آب‌و‌علف,-1
2446,بی‌اثر,-1
2447,بی‌احساس,-1
2448,بی‌ارزش,-1
