,Persian Translation (Google Translate),sentiment
2450,بی‌اشتها,-1
2451,بی‌اطلاع,-1
2452,بی‌اعتقاد,-1
2453,بی‌اعتنا,-1
2456,بی‌بته,-1
2457,بی‌بر,-1
2459,بی‌بندوبار,-1
2460,بی ترییت,-1
2461,بی‌توجه,-1
2463,بی‌ثبات,-1
2464,بی‌ثمر,-1
2465,بی‌جواب,-1
2468,بی‌حفاظ,-1
2469,بی‌حواس,-1
2470,بی‌خانمان,-1
2471,بی‌خبر,-1
2473,بی‌خواننده,-1
2474,بی‌خیرو برکت,-1
2476,بی‌دست‌و‌پا,-1
2478,بی‌دل‌و‌جرئت,-1
2481,بی‌رقیب,1
2483,بی‌ریا,1
2484,بی‌ریشه,-1
2486,بی‌سرانجام,-1
2487,بی‌سروته,-1
2488,بی‌سروسامان,-1
2489,بی‌سروصدا,1
2490,بی‌سکنه,-1
2492,بی‌صفت,-1
2493,بی‌ظرفیت,-1
2494,بی‌عرضه,-1
2496,بی‌علاقه,-1
2497,بی‌غل‌وغش,1
2498,بی‌غیرت,-1
2499,بی‌فک‌و‌فامیل,-1
2500,بی‌قاعده,-1
2502,بی‌محتوا,-1
2503,بی‌مخاطب,-1
2504,بی‌مزه,-1
2505,بی‌معرفت,-1
2507,بی‌میل,-1
2510,بی‌وحدت,-1
2512,بی‌پاسخ,-1
2515,بی‌پرده,1
2516,بی‌پروا,1
2518,بی‌چفت‌و‌بست,-1
2519,بی‌چیز,-1
2520,بی‌کس,-1
2522,بی‌کله,-1
2523,بی‌کیفیت,-1
2524,بی کیفیت,-1
2528,بچه ناقص الخلقه,-1
2532,بچه گربه,1
2533,بچگانه,-1
2538,بکارت,1
2539,بکر,1
2544,بی اثر,-1
2545,بی اثر کردن,-1
2546,بی احترامی,-1
2547,بی احترامی کردن به,-1
2548,بی ادب,-1
2549,بی اراده,-1
2550,بی ارزش,-1
2551,بی اساس,-1
2552,بی اعتبار ساختن,-1
2553,بی اعتبار کردن,-1
2554,بی اعتقاد,-1
2557,بی اهمیت,-1
2558,بی اهمیتی,-1
2559,بی ایمانی,-1
2560,بی باک,1
2561,بی بها,1
2562,بی تاب,-1
2563,بی تجربگی,-1
2564,بی تدبیر,-1
2566,بی تردید,1
2567,بی تفاوت,-1
2568,بی توجه,-1
2569,بی توجهی,-1
2570,بی تکلف,1
2571,بی ثبات,-1
2572,بی ثباتی,-1
2573,بی ثمر,-1
2574,بی جا,-1
2578,بی حالی,-1
2580,بی حرمتی,-1
2581,بی حرمتی کردن,-1
2583,بی حس,-1
2584,بی حساب,-1
2585,بی حسی,-1
2586,بی حوصلگی,-1
2587,بی خانمان,-1
2588,بی خبر,-1
2589,بی خدا,-1
2590,بی خردی,-1
2591,بی خطر,1
2595,بی ربط,-1
2596,بی رحم,-1
2598,بی رنگی,-1
2599,بی روح,-1
2600,بی ریخت,-1
2603,بی سر و صدا,-1
2604,بی سر و صدایی,1
2605,بی سرپرست,-1
2606,بی سواد,-1
2607,بی سیم,1
2608,بی شرم,-1
2611,بی شکل,-1
2612,بی ضرر,1
2613,بی طرف,1
2614,بی عاطفه,-1
2615,بی عدالتی,-1
2616,بی علاقگی,-1
2617,بی عیب,1
2618,بی عیب و نقص,1
2620,بی فایده,-1
2621,بی فایدگی,-1
2622,بی قاعده,-1
2623,بی قانونی,-1
2624,بی قراری,-1
2625,بی قید,1
2626,بی مبالات,-1
2627,بی مبالاتی,-1
2629,بی مزه,-1
2630,بی معنی,-1
2631,بی ملاحظه,-1
2632,بی مناسبتی,-1
2633,بی منطق,-1
2635,بی مهارت,-1
2636,بی موقع,-1
2637,بی میل,-1
2639,بی نام,-1
2642,بی نظم,-1
2643,بی نظمی,-1
2644,بی نظمی و اغتشاش,-1
2645,بی نظیر,1
2646,بی نقص,1
2647,بی نهایت,-1
2650,بی همتا,1
2651,بی وجدان,-1
2652,بی وفا,-1
2653,بی پایان,-1
2654,بی پدر و مادر,-1
2655,بی پرده,1
2656,بی پروا,-1
2657,بی پروایی نشان دادن,-1
2659,بی چاره,-1
2661,بی کار,-1
2662,بی کفایت,-1
2663,بی کفایتی,-1
2664,بی گناه,1
2665,بی گناهی,1
2667,بیات,-1
2669,بیاعتمادی,-1
2671,بیانیه,1
2672,بیبهره,-1
2673,بیحال شدن,-1
2678,بیدار کردن,1
2681,بیرون انداختن,-1
2685,بیرون کردن,-1
2687,بیزار,-1
2688,بیزار بودن از,-1
2690,بیزاری,-1
2693,بیش از,1
2697,بیش از حد رشد,-1
2698,بیشتر,1
2700,بیشترین,1
2704,بیطرفی,1
2708,بیم و هراس,-1
2709,بیمار,-1
2710,بیمار کننده,-1
2712,بیماری,-1
2713,بیماری صرع,-1
2714,بیماری فلج اطفال,-1
2715,بیماری هاری,-1
2716,بیماری همه گیر,-1
2718,بیمه کردن,1
2719,بین,-1
2720,بین المللی,1
2723,بینش,1
2728,بیهوده,-1
2729,بیهوده و بیمعنی,-1
2733,بیگانه,-1
2734,بیگانه کردن,-1
2735,بیگانگی,-1
2741,تا کنون,-1
2743,تاب,-1
2750,تابش خیره کننده,-1
2752,تابشی,1
2753,تابع,-1
2762,تابو,-1
2763,تابوت,-1
2765,تاتر,1
2769,تاج گذاری,1
2774,تاخت و تاز,-1
2775,تاخت و تاز کردن,-1
2776,تاخیری,-1
2777,تاخیر,-1
2778,تاخیر به دلیل اجرای,-1
2779,تاخیر ورود,-1
2784,تاریخ‌ساز,1
2785,تاریک,-1
2788,تاری,-1
2791,تاریخچه,1
2793,تاریک,-1
2794,تاریک کردن,-1
2796,تازه,1
2799,تازه نفس,1
2804,تازه‌کار,-1
2807,تازیانه,-1
2811,تاسف‌بار,-1
2821,تامین,1
2824,تاوان,1
2825,تاول,-1
2828,تاویل,1
2835,تاکید,1
2837,تاکید مجدد بر,1
2838,تاکید کردن,1
2839,تایید,1
2840,تایید شده,1
2841,تایید کردن,1
2844,تب آلود,-1
2846,تب خال,-1
2847,تب دار,-1
2848,تب و تاب,1
2849,تبادل,1
2851,تبانی,-1
2852,تباه,-1
2853,تباه کننده,-1
2854,تباهی,-1
2856,تبدیل,1
2857,تبدیل بخاکستر کردن,-1
2861,تبرئه,1
2863,تبریک,1
2865,تبعیدی,-1
2867,تبعید,-1
2868,تبعیض,-1
2869,تبعیض قائل شدن,-1
2873,تبلیغات,-1
2874,تبه کار,-1
2875,تبهکار,-1
2879,تثبیت کردن,1
2885,تجانس,1
2886,تجاوز,-1
2887,تجاوز به عنف,-1
2888,تجاوز کردن,-1
2889,تجاوزگر,-1
2892,تجدید,1
2893,تجدید دیدار,1
2894,تجدید نظر,1
2895,تجدید نظر کردن,1
2903,تجزیه,-1
2905,تجزیه طلب,-1
2906,تجزیه طلبی,-1
2913,تجلی,1
2914,تجلیل,1
2916,تجمل,-1
2918,تجملاتی,1
2919,تجملی,1
2928,تحت تأثیر قرار نمیگیرند,1
2930,تحت تاثیر قرار دادن,1
2931,تحت محاصره,-1
2933,تحت پیگرد قانونی قرار,-1
2937,تحدید,-1
2939,تحریک آمیز,-1
2942,تحریف,-1
2943,تحریم,-1
2944,تحریک,-1
2946,تحریک جنگ کردن,-1
2948,تحریک و تشجیع کردن,1
2949,تحریک پذیر,-1
2950,تحریک کردن,-1
2951,تحسین‌برانگیز,1
2952,تحسین‌شده,1
2953,تحسین,1
2957,تحصیل کرده,1
2960,تحقیرآمیز,-1
2963,تحقیر,-1
2964,تحقیر امیز,-1
2965,تحقیر کردن,-1
2968,تحقیقات,1
2974,تحمل,1
2975,تحمل کردن,1
2976,تحمل‌ناپذیر,-1
2978,تحمیلی,-1
2979,تحمیل,-1
2980,تحمیل کردن,-1
2981,تحول,-1
2984,تحویل,1
2985,تخت,1
2989,تخته سنگ,1
2993,تخریبی,-1
2994,تخریب‌شده,-1
2995,تخریب‌کننده,-1
2996,تخریب,-1
2997,تخس,-1
2998,تخصص,1
3002,تخصیص,-1
3006,تخفیف,1
3007,تخفیف دادن,1
3009,تخلف,-1
3010,تخلیه,-1
3026,تدارکات,1
,تداخل,-1
3029,تداوم,-1
3035,تذکر,-1
3036,تر و تازه,1
3040,تراشه,-1
3053,تراژدی,-1
3054,تراژیک,-1
3060,تربیت‌پذیر,1
3069,ترجیح می‌دهند,1
3073,ترخیص کالا از گمرک,1
3074,ترد,-1
3079,ترس,-1
3080,ترسان,-1
3081,ترساندن,-1
3083,ترسناک,-1
3084,ترسو,-1
3085,ترسیده,-1
3087,ترس‌آلود,-1
3088,ترش,-1
3089,ترشح,-1
3092,ترشی,-1
3093,ترشیده,-1
3094,ترغیب,1
3096,ترقی,1
3098,ترمز ماشین,-1
3103,ترنجبین,1
3104,ترور,-1
3105,تروریستی,-1
3106,تروریستی,-1
3107,تروریسم,-1
3110,ترویج,1
3112,تریاکی,-1
3113,ترک,-1
3114,ترک خورده,-1
3115,ترک خوردگی,-1
3116,ترک کردن,-1
3132,تریاک,-1
3135,تزئین,1
3142,تزلزل ناپذیر,1
3144,تسامح,-1
3148,تسخیر ناپذیر,1
3157,تسلیت,1
3158,تسلیم,-1
3159,تسلیم شدن,-1
3162,تسمه زیر گردن اسب,-1
3164,تسهیل‌کننده,1
3165,تسهیل,1
3169,تسکین,1
3170,تسکین دهنده,1
3176,تشخیص و تعیین مالیات,-1
3179,تشدید,-1
3188,تشنج,-1
3189,تشنجی,-1
3190,تشنج‌آور,-1
3191,تشنه,-1
3194,تشویق‌آمیز,1
3195,تشویق‌شده,1
3196,تشویق,1
3197,تشویق و ترغیب کردن,1
3198,تشویق و تمجید,1
3201,تشکر,1
3204,تشکیل شده,1
3205,تصادف,-1
3207,تصادفی,-1
3210,تصدیق,1
3212,تصدیق کردن,1
3215,تصعید,1
3216,تصفیه,1
3217,تصفیه کردن,1
3218,تصلب شریان,-1
3221,تصنعی,1
3222,تصنیف,1
3223,تصنیف کوچک,1
3225,تصور غلط,-1
3229,تصویب,1
3232,تصویر عیسی بر بالای صلیب,-1
3235,تضاد,-1
3237,تضرع,1
3238,تضعیف,-1
3239,تضعیف روحیه,-1
3241,تضمین,1
3247,تطمیع کردن,1
3248,تطهیر کردن,1
3250,تظاهر,-1
3252,تعادل,1
3253,تعادلی,1
3256,تعالی,1
3260,تعاونی,1
3262,تعبیه کردن,1
3263,تعجب,1
3269,تعدیل کننده,-1
3270,تعرفه,-1
3272,تعریف,1
3275,تعصب,-1
3276,تعطیل,-1
3277,تعفن,-1
3278,تعقلی,1
3279,تعقیب,-1
3280,تعقیب قانونی,-1
3281,تعقیب قانونی کردن,-1
3282,تعقیب کردن,-1
3283,تعلیق,-1
3288,تعمیر کردن,1
3290,تعهد,-1
3294,تعویق,-1
3296,تعیین,1
3308,تغییر رنگ,-1
3314,تف کرد,-1
3315,تفاله,-1
3321,تفرقه‌آمیز,-1
3323,تفریح,1
3324,تفریحانه,1
3325,تفریحی,1
3334,تفننی,1
3335,تفنگ,-1
3337,تفهیم اتهام,-1
3338,تفکر,1
3339,تفکر کردن,1
3341,تفکیک,-1
3342,تقارن,1
3343,تقاضا,-1
3345,تقبیح کردن,-1
3346,تقدس,1
3347,تقدم,1
3350,تقدیس,1
3358,تقطیر,1
3359,تقلا,-1
3360,تقلب,-1
3361,تقلبی,-1
3362,تقلبی,-1
3363,تقلید,-1
3365,تقلید شده,-1
3366,تقلید مسخره امیز کردن,-1
3367,تقلید کردن,1
3368,تقلیل قیمتها,-1
3369,تقلیل یافته,-1
3370,تقوا,1
3373,تقویت,1
3374,تقویت شدن,1
3375,تقویت کردن,1
3379,تلاش,1
3380,تلاش‌گر,1
3381,تلاطم,-1
3382,تلافی,-1
3383,تلافی کردن,-1
3386,تلخه,-1
3387,تلخی,-1
3388,تلخ‌کام,-1
3391,تلفات,-1
3399,تلف‌شده,-1
3401,تلقین,-1
3403,تله,-1
3404,تلو تلو خوردن,-1
3412,تماشایی,1
3418,تمام و کمال,1
3420,تمامیت,1
3430,تمدد اعصاب,1
3431,تمدن,1
3434,تمرکز,1
3435,تمرکز حواس,1
3438,تمسخر,-1
3439,تمسخرشان,-1
3440,تمیز,1
3441,تمیز,1
3443,تمیز کاری,1
3449,تناسلی,1
3450,تناقض,-1
3452,تنبل,-1
3453,تنبلی,-1
3454,تنبیهی,-1
3455,تنبیه,-1
3456,تنبیه کردن,-1
3457,تنبیهی,-1
3459,تند,-1
3462,تند و باروح,1
3463,تند و تلخ,-1
3464,تند و تیز,1
3465,تند و زننده,-1
3466,تندرست,1
3467,تندرو,-1
3468,تندشده,-1
3469,تندکار,1
3470,تنزل,-1
3473,تنظیم کردن,1
3474,تنظیمی,-1
3475,تنفر,-1
3476,تنفر داشتن از,-1
3477,تنفس,1
3483,تنها,-1
3485,تنها و بیکس,-1
3486,تنهایی,-1
3487,تنه‌لش,-1
3489,تنومند,1
3491,تنگ,-1
3492,تنگ نظر,-1
3493,تنگ چشم,-1
3495,تنگدست,-1
3496,تنگه,-1
3499,تن‌پرور,-1
3502,ته قنداق تفنگ,-1
3504,تهاجم,-1
3506,تهدیدآمیز,-1
3508,تهدیدکننده,-1
3509,تهدید,-1
3511,تهمت زدن,-1
3512,تهوع,-1
3513,تهوع اور,-1
3514,تهوع‌آور,-1
3516,تهیدست,-1
3517,تهی,-1
3520,تهیه کردن,1
3525,تواضع,1
3526,توافق,1
3528,توالت,-1
3533,توانا,1
3534,توانایی,1
3535,توانبخشی,1
3536,توانبخشی کردن,1
3540,توبه کردن,1
3541,توبیخ,-1
3542,توجه,1
3545,توجیه,1
3548,توخالی,-1
3550,توده,-1
3558,تورم,-1
3562,توزرد,-1
3568,توس,-1
3570,توسعه,1
3571,توسعه‌نیافته,-1
3572,توسعه‌یافته,1
3581,توصیفی,1
3582,توصیه,1
3584,توضیح,1
3588,توطئه‌چین,-1
3590,توفان,-1
3594,توقف,-1
3595,توقیف‌شده,-1
3596,توقیف,-1
3597,توقیف کردن,-1
3598,تولد,1
3602,توله سگ,1
3606,تولید,1
3609,تولید کننده,1
3612,تومور,-1
3613,تومور سرطانی,-1
3617,توهم,-1
3618,توهم‌آلود,-1
3619,توهم‌زا,-1
3620,توهین آمیز,-1
3621,توهین‌کننده,-1
3622,توهین,-1
3623,توهین به,-1
3624,توهین به مقدسات,-1
3625,توپ,-1
3626,توپ فوتبال,1
3627,توپخانه,-1
3641,تیزبین,1
3644,تپانچه,-1
3650,تک خال,1
3651,تک رنگ,-1
3658,تکامل‌یافته,1
3659,تکان,-1
3662,تکان دهنده,1
3666,تکبر,-1
3673,تکراری,-1
3681,تکمیل,1
3684,تکنولوژی,1
3697,تک‌رنگ‌بین,-1
3712,تیر اهن,1
3715,تیراندازی,-1
3716,تیردان,-1
3717,تیره,-1
3718,تیره روز,-1
3719,تیره و ابر آلود,-1
3721,تیرگی,-1
3723,تیز هوشی,1
3727,تیغ دار,-1
3732,تیپ,-1
3734,ثابت,1
3735,ثابت قدم,1
3740,ثبات,1
3741,ثبات و استحکام,1
3751,ثروت,1
3752,ثروت باد اورده,1
3758,جا,1
3760,جا گذاشتن,-1
3762,جابجا,-1
3763,جابجا کردن,-1
3764,جادار,1
3772,جادوگر,1
3773,جادویی,1
3775,جاذبه,1
3783,جاسوسی,-1
3784,جاعل,-1
3785,جالب,1
3788,جامد,1
3789,جامع,1
3795,جان,-1
3796,جان بخش,1
3797,جان برکف,1
3799,جان سوز,-1
3801,جان فرسا,-1
3803,جان کاه,-1
3805,جان کندن,-1
3806,جان گداز,-1
3807,جانباز,-1
3808,جانبدارانه,-1
3819,جانور,-1
3827,جاه طلبی,1
3828,جاهل,-1
3829,جاودان,1
3830,جاودانه,1
3831,جاوید,1
3832,جاویدان,1
3833,جاویدان,1
3834,جایز,1
3837,جاکش,-1
3838,جاگیر,-1
3840,جای خالی,-1
3841,جای زخم در صورت,-1
3845,جایز الخطا,-1
3846,جایزه,1
3851,جبار,-1
3853,جبران,1
3854,جبران خسارت,1
3855,جبران ناپذیر,-1
3856,جبران کردن,1
3858,جبرانی,1
3865,جدا,-1
3867,جدا شده,-1
3868,جدا نشدنی,1
3869,جدا کردن,-1
3870,جداری,1
3871,جدال,-1
3878,جدلی,-1
3881,جدول نجومی,1
3882,جدول کلمات متقاطع,-1
3885,جدید,1
3888,جدی,1
3889,جدیت,1
3890,جذاب,1
3891,جذابیت,1
3892,جذام,-1
3893,جذب,1
3894,جذب می‌کند,1
3895,جذبه,1
3900,جرب,-1
3902,جرعه,-1
3903,جرقه,1
3905,جرم,-1
3906,جرم خیز,-1
3907,جریان‌ساز,1
3908,جریان,1
3910,جریمه,-1
3921,جزغاله,-1
3924,جزم‌اندیش,-1
3930,جسارت,-1
3931,جست و خیز,-1
3932,جست و خیز کردن,-1
3933,جستجو,1
3936,جسد,-1
3938,جسم شناور,1
3941,جسور,1
3943,جشن تولد,1
3944,جشن عروسی,1
3946,جشنواره,1
3950,جعل,1
3951,جعل اسناد,-1
3952,جعل هویت,-1
3953,جعل هویت کردن,-1
3954,جعلی,-1
3955,جعلی,-1
3960,جفا کردن,-1
3964,جلا,1
3965,جلاد,-1
3966,جلال,1
3967,جلال دادن,1
3972,جلف,-1
3976,جلو گیری,-1
3977,جلوتر بودن از,1
3979,جلوگیری از,-1
3985,جماعت,1
3990,جمع اوری کردن,-1
3991,جمع شدن,-1
3999,جمهوری,-1
4000,جن,-1
4002,جناب کشیش,1
4005,جنایت کار,-1
4007,جنایت,-1
4008,جنایت کار,-1
4009,جنایتکاری,-1
4010,جنایی,-1
4013,جنبنده,-1
4019,جنجال,-1
4020,جنجالی,-1
4022,جنس اوراق و شکسته,-1
4023,جنس بنجل,-1
4025,جنسی,1
4027,جنون,-1
4028,جنون جوانی,-1
4029,جنگ,-1
4031,جنگ زده,-1
4032,جنگ صلیبی,-1
4033,جنگ طلب,-1
4034,جنگجو,1
4040,جنگیری,-1
4041,جنگ‌افروز,-1
4045,جهات,1
4062,جهل,-1
4063,جهنم,-1
4064,جهنمی,-1
4069,جوابگو,1
4070,جوان,1
4071,جوان مرگ,-1
4072,جوانان,1
4073,جوانتر,1
4074,جوانمردی,1
4078,جوانی از سر گرفتن,1
4080,جوان‌مرد,1
4081,جوان‌کننده,1
4082,جواهر,1
4088,جوجه تیغی,-1
4093,جور کننده,1
4099,جوش,-1
4115,جیره‌خوار,-1
4120,جیر جیر,1
4123,جیغ زدن,-1
4124,جیغ کشیدن,-1
4126,جیوه,-1
4133,حادثه جو,-1
4134,حادثه‌دیده,-1
4135,حاذق,1
4139,حاشیه,-1
4144,حاصلخیز,1
4145,حاضر,1
4146,حاضر جواب,1
4157,حالت عادی,1
4159,حال‌به‌هم‌زن,-1
4160,حامل,-1
4162,حامی,1
4163,حامی,1
4173,حبس,-1
4174,حبس بودن,-1
4180,حد,-1
4181,حد فاصل,1
4184,حد وسط,-1
4187,حذف,-1
4188,حذف کردن,-1
4192,حراج,1
4197,حرام,-1
4198,حرام خور,-1
4199,حرام زاده,-1
4200,حرام گوشت,-1
4201,حرامزاده,-1
4205,حرف شکسته و نا مفهوم,-1
4207,حرفه,1
4208,حرفه‌ای,1
4210,حرفی,1
4211,حرمت,1
4214,حریص,-1
4216,حرکت,1
4221,حرکت یا کشش ناگهانی,-1
4223,حریص,-1
4224,حریف,-1
4225,حریق بزرگ,-1
4227,حزب,-1
4229,حزین,-1
4230,حس,1
4231,حس بویایی,-1
4232,حس کنجکاوی,1
4238,حسابی,1
4239,حسابگر,1
4240,حسادت,-1
4241,حساس,-1
4243,حساسیت‌زا,-1
4244,حساسیت,1
4245,حسرت,-1
4246,حسرت‌آلود,-1
4247,حسرت‌بار,-1
4248,حسن نیت,1
4249,حسود,-1
4252,حسی,1
4257,حشیش,-1
4259,حصول,1
4263,حضور,1
4265,حظ کردن,1
4266,حفاری,-1
4267,حفاظت,1
4270,حفاظ‌دار,1
4278,حق التالیف,1
4283,حق بیمه ایام بیکاری,-1
4285,حق ثبت اختراع,1
4289,حق نشناس,-1
4290,حقارت,-1
4292,حقایق,1
4294,حقه باز,-1
4296,حقه‌باز,-1
4297,حقوق,1
4302,حقوقی,1
4304,حقیر,-1
4307,حقیقت,1
4308,حقیقی,1
4314,حلال خور,1
4315,حلال زاده,1
4316,حلال گوشت,1
4319,حلقه,1
4326,حماسه,1
4328,حماقت,-1
4332,حمایتی,1
4333,حمایت,1
4339,حمله,-1
4342,حمله کردن,-1
4343,حمله کننده,-1
4347,حنایی,-1
4351,حواس پرتی,-1
4352,حواس‌پرت,-1
4355,حوزه,-1
4365,حیات‌بخش,1
4368,حیله‌گر,-1
4374,حکم,-1
4375,حکم دادگاه عالی بدادگاه تالی,-1
4377,حکم کردن,-1
4378,حکمت,1
4381,حکومت اشرافی,1
4383,حکومت معدودی از ثروتمندان,-1
4384,حکومت کردن,1
4386,حکیم,1
4387,حیاتی,1
4390,حیرت,1
4391,حیله‌گر,-1
4392,حیله‌گری,-1
4393,حیوان,-1
4394,حیوان صفت,-1
4395,حیوان یا عضو یا الت مکنده,-1
4396,حیوانی,-1
4397,خائن,-1
4403,خار,-1
4409,خارج از نزاکت,-1
4413,خارج کردن,-1
4416,خارجی,-1
4420,خارق العاده,1
4423,خاصیت,1
4425,خاصیت مغناطیسی,1
4428,خاطره‌انگیز,1
4429,خاطی,-1
4434,خالصانه,1
4435,خالق,1
4437,خالی‌بند,-1
4439,خالی از سکنه,-1
4440,خالی کردن,-1
4441,خام,-1
4446,خاموش کردن,-1
4448,خانم,1
4452,خانه داری,1
4455,خانه نشین,-1
4460,خانواده,1
4461,خانواده دار,1
4467,خاک,-1
4474,خاکستر,-1
4484,خبرنگار,1
4485,خبره,1
4486,خبرچین,-1
4487,خبرچین,-1
4489,ختم,-1
4491,ختنه,1
4492,خجالت,-1
4493,خجالت دادن,-1
4495,خجالتی,-1
4497,خجالت‌آور,-1
4498,خجالت‌زده,-1
4499,خجسته,1
4500,خجل,-1
4501,خدا,1
4503,خدا شناس,1
4504,خدا شناسی,-1
4514,خدمتگزار,-1
4516,خر,-1
4518,خر خر کردن,1
4519,خراب,-1
4520,خراب کردن,-1
4522,خرابکار,-1
4523,خرابکاری,-1
4524,خرابی,-1
4525,خراب‌شدنی,-1
4530,خراشیده,-1
4532,خرافاتی,-1
4533,خرافاتی,-1
4534,خرافه پرست,-1
4535,خرافی,-1
4537,خرحمالی,-1
4539,خرد,-1
4541,خرد کردن,-1
4545,خردمند,1
4550,خرده پا,-1
4552,خردگرا,1
4554,خرس خاکستری امریکا,-1
4555,خرم,1
4569,خریدارانه,1
4570,خریدنی,1
4574,خرچنگ قورباغه,-1
4577,خرید,1
4580,خریدن,1
4588,خزیدن,-1
4589,خسارت,-1
4590,خسارت‌دیده,-1
4592,خسته,-1
4594,خسته کننده,-1
4595,خستگی ناپذیر,1
4596,خستگی,-1
4597,خسیس,-1
4603,خشم,-1
4604,خشمگین,-1
4605,خشمگین,-1
4606,خشمگین شدن از,-1
4608,خشم‌آلود,-1
4609,خشم‌ناک,-1
4610,خشن,-1
4612,خشنود,1
4613,خشنود و راضی کردن,1
4614,خشونت,-1
4615,خشونت‌آمیز,-1
4616,خشونت‌پیشه,-1
4617,خشک,-1
4620,خشکه مقدس,-1
4622,خشکی,-1
4624,خصمانه,-1
4628,خصومت,-1
4629,خط,1
4640,خطا,-1
4641,خطا کردن,-1
4642,خطابه,1
4645,خطبه,1
4646,خطر,-1
4647,خطر ناک,-1
4648,خطرآفرین,-1
4649,خطرناک,-1
4650,خطری,-1
4662,خفت‌آور,-1
4663,خفت‌بار,-1
4665,خفقان‌آور,-1
4666,خفه,-1
4667,خفه کردن,-1
4668,خفه کننده,-1
4669,خفگی,-1
4671,خلاصه,1
4675,خلاف,-1
4677,خلاف قاعده,-1
4678,خلافکار,-1
4679,خلاق,1
4680,خلبان,1
4682,خلط,-1
4685,خلف,1
4686,خلفی,1
4694,خلوص,1
4697,خم شدن,1
4700,خمار,-1
4706,خمپاره انداز,1
4707,خمیازه,-1
4712,خمیر,-1
4717,خنثی کردن,-1
4718,خنجر,-1
4720,خندان,1
4722,خنده,1
4725,خنده‌آور,1
4726,خندیدن,1
4727,خنس,-1
4728,خنک,1
4732,خنکی,1
4734,خو,1
4738,خواب آلودگی,-1
4744,خواب‌بر,-1
4745,خوار,-1
4746,خوار شمردن,-1
4749,خواست,1
4750,خواستار,-1
4751,خواستن,-1
4752,خواستگار,1
4754,خوانا,1
4755,خوانایی,1
4756,خواندن,1
4759,خواننده,1
4764,خواهری,1
4765,خواهش,-1
4766,خوب,1
4767,خوبی,1
4769,خود خواه,-1
4770,خود داری,1
4771,خود رای,-1
4773,خود سر,-1
4774,خود نمایی,1
4775,خودآزار,-1
4778,خوداتکا,1
4780,خودباخته,-1
4784,خودخواه,-1
